Subject,CatNbr,Course Title,Sect,Type,Location,Summer 2019,Fall 2019,Spring 2020,Summer 2020,Fall 2020,Spring 2021,Summer 2021,Fall 2021,Spring 2022,Summer 2022,Fall 2022,Spring 2023,Summer 2023,Fall 2023,Spring 2024,Summer 2024,Fall 2024
ARCH,499,Honours Thesis,D100,IND,BURNABY,,,,,,1.0,,,,1.0,,1.0,,1.0,1.0,,
ARCH,499,Honours Thesis,D200,IND,BURNABY,,,,,,,,,,,,,,1.0,1.0,,
BISC,100,Introduction to Biology,D100,LEC,BURNABY,80.0,115.0,80.0,,,,,,,72.0,,,72.0,,,72.0,
BISC,101,General Biology,D100,LEC,BURNABY,192.0,480.0,240.0,144.0,576.0,288.0,144.0,456.0,360.0,216.0,500.0,432.0,216.0,500.0,360.0,216.0,500.0
BISC,101,General Biology,D200,LEC,SURREY,,144.0,,,,,,144.0,,,144.0,,,144.0,,,144.0
BISC,101,General Biology,D900,LEC,BURNABY,,,,,,,,26.0,,,,,,,,,
BISC,102,General Biology,D100,LEC,BURNABY,160.0,320.0,320.0,180.0,256.0,384.0,,280.0,320.0,160.0,320.0,320.0,160.0,320.0,320.0,160.0,320.0
BISC,102,General Biology,D200,LEC,BURNABY,,,,,,,144.0,,,,,,,,,,
BISC,102,General Biology,D200,LEC,SURREY,,,144.0,,,,,,144.0,,,144.0,,,144.0,,
BISC,102,General Biology,D900,LEC,BURNABY,,,,,,,,40.0,,,,,,,,,
BISC,106,Biology for Engineers,B100,OLC,SURREY,,,,,,,,,,,,,,,,,24.0
BISC,113,Biology in Everyday Life,C100,OLC,BURNABY,,,,,75.0,75.0,75.0,75.0,75.0,,,,,,,,
BISC,113,Biology in Everyday Life,C100,SEC,BURNABY,75.0,,75.0,75.0,,,,,,,,,,,,,
BISC,113,Biology in Everyday Life,OL01,OLC,BURNABY,,,,,,,,,,,,,,75.0,75.0,,
BISC,113,Biology in Everyday Life B-Sci,OL01,OLC,BURNABY,,,,,,,,,,,75.0,75.0,,,,,
BISC,171,Biology Seminar,D100,LEC,BURNABY,,,,,,,,,,,,,,,,,75.0
BISC,171,STT - Biology Seminar,D100,LEC,BURNABY,,,,,,,,,,,,,,75.0,,,
BISC,202,Genetics,C100,OLC,BURNABY,,,,,,,,,,45.0,,,,,,,
BISC,202,Genetics,C100,SEC,BURNABY,45.0,45.0,,,,,,,,,,,,,,,
BISC,202,Genetics,D100,LEC,BURNABY,144.0,320.0,240.0,168.0,280.0,240.0,144.0,280.0,240.0,100.0,320.0,240.0,120.0,320.0,240.0,141.0,288.0
BISC,202,Genetics,D900,LEC,BURNABY,,,,,,,,24.0,,,,,,,,,
BISC,202,Genetics,OL01,OLC,BURNABY,,,,,,,,,,,45.0,,45.0,,45.0,,
BISC,204,Ecology,D100,LEC,BURNABY,,,,,,,,,,,,,,160.0,120.0,,168.0
BISC,204,Intro to Ecology,D100,LEC,BURNABY,,140.0,96.0,,140.0,96.0,,140.0,96.0,,160.0,120.0,,,,,
BISC,204,Intro to Ecology,D900,LEC,BURNABY,,,,,,,,20.0,,,,,,,,,
BISC,205,Principles of Physiology,D100,LEC,BURNABY,,,,,,,,100.0,,,140.0,144.0,,156.0,96.0,,168.0
BISC,212,Biological Research,D100,LEC,BURNABY,48.0,,,,,,,,,,,,,,,48.0,
BISC,298,Introduction to Undergraduate,D011,LAB,BURNABY,,,,,,,,,,,,,,,,5.0,
